dosage,MedicineName
Tab,"ABIRATERON ACETATE 250mg TAB (PACK SIZE 1x120)"
Tab,"Alecensa 150mg Capsule"
Tab,"ALECTINIB 150 MG (ALECENSA )(PACK SIZE 1X224)"
Inj.,"Augplat 250mcg Injection"
Inj.,"AVELUMAB 200MG INJ (PACK SIZE 1x1)"
Tab,"BARICITINIB 2 MG (PACK 1X7)"
Inj.,"BEVACIZUMAB 100 MG INJ (CIZUMAB) (PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER) CAPD 2.5% 2.5 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER)CAPD MINI CAP(PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER)CAPD SOL 1.5% 5 LTR(PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER)CAPD SOLN 4.5% 2 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER) TITANIUM ADOPTER(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER)TRANSFER SET 2 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(FRESENIUS)DRAINAGE BAG KIT(PACK SIZE 1X1)"
Liquid,"(CAPD)(J MITRA)CAPD SOLN 1.5% 2 LTR(P.SIZE 1X1)"
Device,"(CAPD)(J MITRA) MINI CAP(PACK SIZE 1X1)"
Device,"(CAPD)(J MITRA)ULTRA Y SET(PACK SIZE 1X1)"
Device,"(CAPD)(STERLING LIFE SYSTEM)DRESSING KIT(1X30)"
Tab,"Comcapsy 700/30 mg Tablet"
Inj.,"DARATUMUMAB 100 MG (DARAZLEX) (PACK SIZE 1X1)"
Inj.,"DARATUMUMAB 400 MG (DARAZLEX) (PACK SIZE 1X1)"
Inj.,"DARBEPOETIN ALFA 200 MCG (1 X 1)"
Inj.,"DARBEPOIETIN 40 MCG (CRESP) (PACK SIZE 1X1)"
Tab,"DEFERASIROX 500 MG (PACK SIZE 1X10)"
Inj.,"DENOSUMAB 120 MG (PACK SIZE 1X1)"
Inj.,"DOSTARLIMAB 500MG/10ML INJ (PACK SIZE 1X1)"
Tab,"ENTECAVIR 0.5MG (PACK SIZE 1X30)"
Caps,"ENZALUTAMIDE 40 MG CAP (PACK SIZE 1X4) OBNYX"
Tab,"ERLOTINIB 100 MG TAB (PACK SIZE 1X30)"
Caps,"ERLOTINIB 150 MG CAP (PACK SIZE 1X30)"
Inj.,"ERYTHROPOIETIN 40K (PACK SIZE 1X1)"
Tab,"EVEROLIMUS 0.5 MG TAB (PACK SIZE 1X10)"
Syringe,"FACTOR VIII RECOM III GEN 1000 IU (1X1) (ADVATE)"
Syringe,"FACTOR VIII RECOM III GEN 1500 IU(NOVOEIGHT)(PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 500 IU (ADVATE)(PACK SIZE 1X1)"
Inj.,"GOLIMUMAB 50 MG INJ (PACK SIZE 1X1)"
Inj.,"GOSERELIN ACETATE 10.8 INJ (PACK SIZE 1X1)"
Inj.,"GOSERELIN ACETATE 3.6 INJ (PACK SIZE 1X1)nj."
Inj.,"HUMAN ALBUMIN 20%/100 ML (ALBUTEIN) (PACK SIZE 1X1)"
Inj.,"IBANDORNIC ACID 6 MG INJ (PACK SIZE 1X1)"
Inj.,"INFILIXIMAB 100MG INJ (PACK SIZE 1X1)"
Inj.,"INNOTUZUMAB OZOGAMICIN 1MG INJ (PACK SIZE 1x1)"
Inj.,"INTERFERON BETA 1A (30 MCG) INJ (PACK SIZE 1X1)"
Tab,"LENALIDOMIDE 5 MG (PACK 1X7)"
